"","cluster","type","scores","ncells"
"Effector CD8+ T cells6","25","Effector CD8+ T cells",1.58556229344467,417
"Natural killer  cells9","25","Natural killer  cells",-7.273688353274,417
"Effector CD4+ T cells7","25","Effector CD4+ T cells",-7.63687331928456,417
"CD8+ NKT-like cells5","25","CD8+ NKT-like cells",-46.2485814341049,417
"Eosinophils10","25","Eosinophils",-51.9780629019393,417
"CD4+ NKT-like cells6","25","CD4+ NKT-like cells",-55.0426440968396,417
"Naive CD4+ T cells10","5","Naive CD4+ T cells",5166.73686458309,4679
"Naive CD8+ T cells10","5","Naive CD8+ T cells",4535.2874540221,4679
"Memory CD4+ T cells6","5","Memory CD4+ T cells",4329.09355610514,4679
"Memory CD8+ T cells7","5","Memory CD8+ T cells",3735.51229700124,4679
"Effector CD4+ T cells8","5","Effector CD4+ T cells",2063.16589305178,4679
"γδ-T cells8","5","γδ-T cells",1561.74880540336,4679
"Effector CD8+ T cells7","5","Effector CD8+ T cells",1439.73905880016,4679
"CD4+ NKT-like cells7","5","CD4+ NKT-like cells",1405.39697165228,4679
"CD8+ NKT-like cells6","5","CD8+ NKT-like cells",1068.35801012328,4679
"ISG expressing immune cells6","5","ISG expressing immune cells",214.4024215736,4679
"Naive B cells11","30","Naive B cells",357.311828286381,128
"Memory B cells5","30","Memory B cells",321.106787925798,128
"Pre-B cells5","30","Pre-B cells",306.347810197835,128
"Immature B cells7","30","Immature B cells",304.547007089112,128
"Natural killer  cells10","30","Natural killer  cells",280.709155211524,128
"CD8+ NKT-like cells7","30","CD8+ NKT-like cells",280.534449027922,128
"Pro-B cells5","30","Pro-B cells",249.357898080601,128
"CD4+ NKT-like cells8","30","CD4+ NKT-like cells",236.751099551348,128
"Myeloid Dendritic cells6","30","Myeloid Dendritic cells",139.426507800059,128
"Plasmacytoid Dendritic cells7","30","Plasmacytoid Dendritic cells",108.883680557176,128
"Pre-B cells6","27","Pre-B cells",264.309117078594,148
"Naive B cells12","27","Naive B cells",256.13913261852,148
"Immature B cells8","27","Immature B cells",234.923315422786,148
"Memory B cells6","27","Memory B cells",200.388548274153,148
"Pro-B cells6","27","Pro-B cells",189.349759550245,148
"Erythroid-like and erythroid precursor cells8","27","Erythroid-like and erythroid precursor cells",154.131397617945,148
"Myeloid Dendritic cells7","27","Myeloid Dendritic cells",61.4040036774909,148
"Plasmacytoid Dendritic cells8","27","Plasmacytoid Dendritic cells",42.8359727648474,148
"Plasma B cells5","27","Plasma B cells",36.1472902973757,148
"Natural killer  cells11","27","Natural killer  cells",7.01961642982905,148
"Classical Monocytes4","28","Classical Monocytes",331.543501376462,132
"Non-classical monocytes5","28","Non-classical monocytes",234.077809220385,132
"Neutrophils5","28","Neutrophils",218.775391730106,132
"Erythroid-like and erythroid precursor cells9","28","Erythroid-like and erythroid precursor cells",201.118614745453,132
"Intermediate monocytes5","28","Intermediate monocytes",185.192586663613,132
"Macrophages4","28","Macrophages",166.461665550238,132
"Granulocytes6","28","Granulocytes",134.870190997852,132
"Immature B cells9","28","Immature B cells",95.1447845499758,132
"Myeloid Dendritic cells8","28","Myeloid Dendritic cells",81.9129273859029,132
"Plasmacytoid Dendritic cells9","28","Plasmacytoid Dendritic cells",60.1696777788826,132
"Classical Monocytes5","23","Classical Monocytes",3033.43229932265,609
"Non-classical monocytes6","23","Non-classical monocytes",2426.93905518396,609
"Macrophages5","23","Macrophages",2331.75257549459,609
"Granulocytes7","23","Granulocytes",2018.9930983494,609
"Intermediate monocytes6","23","Intermediate monocytes",1962.15182855329,609
"Neutrophils6","23","Neutrophils",1794.21263419261,609
"ISG expressing immune cells7","23","ISG expressing immune cells",1531.79238503773,609
"Myeloid Dendritic cells9","23","Myeloid Dendritic cells",1049.33020377993,609
"Immature B cells10","23","Immature B cells",942.450111598616,609
"Plasmacytoid Dendritic cells10","23","Plasmacytoid Dendritic cells",896.622322260813,609
"Erythroid-like and erythroid precursor cells10","18","Erythroid-like and erythroid precursor cells",1605.86502126487,930
"Neutrophils7","18","Neutrophils",247.089639482336,930
"Eosinophils11","18","Eosinophils",127.558576371476,930
"Natural killer  cells12","18","Natural killer  cells",-6.19699583420912,930
"Platelets9","18","Platelets",-22.1409111804889,930
"Basophils11","18","Basophils",-42.7237313777021,930
"Classical Monocytes6","18","Classical Monocytes",-211.391524154128,930
"Mast cells11","18","Mast cells",-233.949889879621,930
"Endothelial10","18","Endothelial",-237.031476349868,930
"HSC/MPP cells10","18","HSC/MPP cells",-237.531370808959,930
